ID_Anuncio,Agencia,Fecha_Publicacion,Direccion,Ciudad,Precio_COP,Area_m2,Num_Habitaciones,Num_Banos,Ano_Construccion
1378,Inmobiliaria Andina,2023-07-21,Transversal 29 # 22 - 72,Bogotá D.C.,967000000.0,290.0,6,3.0,2020.0
1252,Propiedades del Sol,2024-10-20,Avenida 55 # 19 - 85,Barranquilla,1746000000.0,,5,2.0,2013.0
1061,Conexión Urbana,2025-02-16,Avenida 30 # 17 - 64,Barranquilla,805000000.0,315.0,4,1.0,2007.0
478,Tu Casa Ideal,2024-10-12,Calle 125 # 9 - 97,Cali,1270000000.0,54.0,6,4.0,2013.0
605,Tu Casa Ideal,2025-05-03,Carrera 54 # 62 - 71,Cartagena,1258000000.0,139.0,6,1.0,2022.0
260,Tu Casa Ideal,2024-12-22,Carrera 110 # 61 - 21,Cali,869000000.0,191.0,6,,
79,Conexión Urbana,2024-10-20,Transversal 128 # 80 - 69,Cali,1759000000.0,65.0,4,2.0,
1200,Tu Casa Ideal,2023-10-20,Diagonal 72 # 31 - 94,Cali,512000000.0,,6,1.0,
1353,Tu Casa Ideal,2025-05-30,Diagonal 64 # 41 - 95,Bogotá D.C.,245000000.0,124.0,2,2.0,1989.0
1319,Inmobiliaria Andina,2024-04-21,Calle 75 # 61 - 21,Bogotá D.C.,1827000000.0,55.0,1,1.0,2014.0
75,Conexión Urbana,2023-12-20,Avenida 55 # 5 - 86,Medellín,1477000000.0,186.0,5,4.0,1997.0
1138,Propiedades del Sol,2025-03-10,Calle 132 # 26 - 93,Cartagena,1608000000.0,287.0,6,3.0,2021.0
801,Conexión Urbana,2024-03-26,Transversal 88 # 22 - 26,Bogotá D.C.,804000000.0,70.0,6,2.0,2007.0
109,Tu Casa Ideal,2023-12-01,Calle 81 # 81 - 14,Medellín,246000000.0,245.0,4,2.0,2015.0
1054,Propiedades del Sol,2024-03-19,Diagonal 89 # 92 - 81,Medellín,1114000000.0,,4,4.0,2023.0
233,Horizonte Propiedades,2025-05-11,Transversal 69 # 9 - 69,Medellín,486000000.0,281.0,5,2.0,2010.0
326,Tu Casa Ideal,2024-07-26,Transversal 50 # 87 - 33,Cartagena,1217000000.0,51.0,6,4.0,2020.0
1076,Inmobiliaria Andina,2025-06-16,Diagonal 58 # 62 - 62,Cali,175000000.0,145.0,3,4.0,2018.0
1384,Inmobiliaria Andina,2023-11-01,Transversal 52 # 65 - 47,Medellín,999000000.0,327.0,5,2.0,2004.0
906,Inmobiliaria Andina,2024-11-08,Diagonal 1 # 26 - 13,Cartagena,297000000.0,81.0,2,1.0,2003.0
857,Horizonte Propiedades,2025-07-16,Transversal 93 # 93 - 30,Bogotá D.C.,1112000000.0,222.0,2,2.0,2017.0
601,Conexión Urbana,2023-09-06,Carrera 88 # 40 - 91,Bogotá D.C.,1614000000.0,192.0,2,3.0,2017.0
76,Conexión Urbana,2025-07-17,Avenida 104 # 62 - 97,Cali,1447000000.0,,2,4.0,2005.0
122,Propiedades del Sol,2023-09-12,Diagonal 60 # 52 - 14,Medellín,419000000.0,338.0,2,3.0,2019.0
903,Propiedades del Sol,2024-08-26,Diagonal 10 # 80 - 9,Barranquilla,1820000000.0,194.0,1,1.0,1984.0
518,Inmobiliaria Andina,2023-10-27,Carrera 93 # 49 - 23,Medellín,919000000.0,194.0,5,1.0,2023.0
719,Inmobiliaria Andina,2024-05-17,Transversal 6 # 50 - 20,Cartagena,1337000000.0,140.0,3,2.0,1982.0
455,Conexión Urbana,2024-11-29,Avenida 89 # 41 - 68,Cartagena,1196000000.0,217.0,5,2.0,1986.0
1499,Inmobiliaria Andina,2024-04-17,Calle 34 # 90 - 84,Cartagena,1531000000.0,204.0,4,3.0,1988.0
441,Inmobiliaria Andina,2024-08-06,Diagonal 76 # 2 - 34,Bogotá D.C.,1130000000.0,201.0,2,2.0,2004.0
1053,Inmobiliaria Andina,2024-07-26,Transversal 105 # 40 - 42,Medellín,1436000000.0,105.0,3,1.0,
125,Horizonte Propiedades,2025-02-01,Diagonal 64 # 29 - 74,Medellín,515000000.0,265.0,3,3.0,
236,Propiedades del Sol,2025-06-11,Calle 37 # 4 - 26,Bogotá D.C.,1582000000.0,263.0,1,4.0,2004.0
862,Tu Casa Ideal,2024-04-10,Diagonal 93 # 32 - 75,Medellín,,258.0,1,2.0,
1144,Propiedades del Sol,2024-06-23,Diagonal 116 # 95 - 38,Medellín,1878000000.0,163.0,6,4.0,2020.0
779,Inmobiliaria Andina,2025-05-25,Carrera 80 # 50 - 42,Cartagena,386000000.0,115.0,1,1.0,1987.0
528,Conexión Urbana,2024-08-15,Avenida 113 # 4 - 71,Cartagena,652000000.0,,6,1.0,2000.0
187,Propiedades del Sol,2024-11-28,Diagonal 11 # 45 - 89,Cali,338000000.0,93.0,6,2.0,2006.0
294,Conexión Urbana,2023-07-28,Transversal 128 # 4 - 89,Barranquilla,930000000.0,170.0,5,3.0,2006.0
1245,Conexión Urbana,2024-12-11,Transversal 36 # 55 - 62,Medellín,1889000000.0,,5,3.0,2021.0
139,Horizonte Propiedades,2024-02-07,Transversal 7 # 67 - 41,Medellín,1649000000.0,259.0,5,2.0,1999.0
1019,Conexión Urbana,2024-12-19,Diagonal 142 # 20 - 8,Cartagena,1195000000.0,307.0,3,2.0,2017.0
16,Tu Casa Ideal,2025-06-27,Diagonal 20 # 66 - 41,Barranquilla,496000000.0,328.0,2,4.0,
64,Tu Casa Ideal,2025-04-06,Carrera 26 # 13 - 63,Medellín,1218000000.0,80.0,3,2.0,
700,Tu Casa Ideal,2023-11-28,Avenida 117 # 94 - 71,Cali,746000000.0,165.0,2,3.0,2022.0
66,Tu Casa Ideal,2024-08-28,Carrera 23 # 73 - 93,Barranquilla,1541000000.0,320.0,3,4.0,
453,Propiedades del Sol,2024-05-11,Avenida 135 # 76 - 97,Cartagena,1052000000.0,161.0,5,2.0,1999.0
919,Tu Casa Ideal,2023-12-25,Calle 134 # 70 - 3,Barranquilla,564000000.0,85.0,2,1.0,1988.0
925,Conexión Urbana,2025-05-08,Transversal 84 # 99 - 42,Medellín,449000000.0,136.0,4,3.0,
255,Tu Casa Ideal,2023-07-20,Carrera 103 # 22 - 98,Cali,1277000000.0,60.0,3,3.0,1986.0
88,Propiedades del Sol,2024-05-02,Diagonal 93 # 43 - 69,Barranquilla,277000000.0,236.0,1,1.0,2011.0
1388,Tu Casa Ideal,2025-06-18,Transversal 43 # 75 - 45,Cali,296000000.0,315.0,6,4.0,2013.0
1141,Inmobiliaria Andina,2024-05-10,Avenida 83 # 30 - 14,Medellín,1199000000.0,68.0,6,2.0,
785,Horizonte Propiedades,2024-03-20,Avenida 80 # 54 - 41,Cali,641000000.0,176.0,5,2.0,1993.0
46,Tu Casa Ideal,2023-08-19,Calle 93 # 83 - 62,Bogotá D.C.,244000000.0,217.0,1,,2003.0
1237,Tu Casa Ideal,2024-11-14,Carrera 70 # 27 - 44,Cartagena,257000000.0,154.0,5,2.0,
261,Inmobiliaria Andina,2025-04-01,Diagonal 128 # 9 - 77,Bogotá D.C.,262000000.0,240.0,3,1.0,1989.0
1057,Conexión Urbana,2024-12-01,Diagonal 26 # 50 - 14,Medellín,1338000000.0,203.0,3,1.0,2005.0
1511,Propiedades del Sol,2025-05-10 00:00:00,Carrera 137 # 45 - 65,Cali,1856000000.0,51.0,2,1.0,2015.0
99,Tu Casa Ideal,2025-05-06,Carrera 34 # 55 - 88,Medellín,1951000000.0,64.0,2,3.0,1990.0
894,Horizonte Propiedades,2024-07-29,Calle 61 # 55 - 7,Barranquilla,1921000000.0,336.0,4,2.0,1981.0
1448,Horizonte Propiedades,2023-08-11,Carrera 111 # 44 - 67,Bogotá D.C.,1576000000.0,204.0,5,1.0,
452,Tu Casa Ideal,2025-03-05,Avenida 22 # 21 - 50,Barranquilla,551000000.0,156.0,2,1.0,
1177,Conexión Urbana,2023-09-17,Calle 12 # 63 - 58,Medellín,847000000.0,,5,2.0,2000.0
1498,Propiedades del Sol,2023-12-24,Carrera 133 # 100 - 36,Cali,986000000.0,263.0,1,2.0,2003.0
1415,Propiedades del Sol,2023-12-18,Diagonal 104 # 55 - 50,Barranquilla,373000000.0,295.0,1,4.0,2024.0
1038,Conexión Urbana,2024-12-19,Diagonal 141 # 30 - 100,Medellín,151000000.0,,2,,2024.0
1273,Tu Casa Ideal,2024-11-29,Transversal 104 # 41 - 24,Bogotá D.C.,1845000000.0,92.0,3,3.0,
1533,Tu Casa Ideal,2024-05-08 00:00:00,Carrera 3 # 52 - 30,Medellín,1358000000.0,67.0,4,4.0,
1162,Propiedades del Sol,2025-06-21,Transversal 131 # 100 - 84,Cartagena,1631000000.0,178.0,5,4.0,
155,Inmobiliaria Andina,2024-11-29,Carrera 100 # 20 - 69,Bogotá D.C.,1256000000.0,333.0,3,2.0,1989.0
148,Propiedades del Sol,2024-09-29,Carrera 8 # 17 - 93,Barranquilla,980000000.0,217.0,3,1.0,2004.0
1329,Inmobiliaria Andina,2025-07-04,Transversal 140 # 36 - 38,Bogotá D.C.,1074000000.0,114.0,4,2.0,2022.0
1248,Inmobiliaria Andina,2025-06-11,Avenida 132 # 16 - 44,Cartagena,1467000000.0,230.0,2,3.0,
386,Horizonte Propiedades,2023-09-15,Carrera 82 # 20 - 53,Bogotá D.C.,488000000.0,153.0,6,4.0,2019.0
1044,Inmobiliaria Andina,2025-05-24,Avenida 5 # 95 - 73,Cartagena,1976000000.0,,2,3.0,2014.0
817,Propiedades del Sol,2023-07-23,Calle 74 # 64 - 2,Medellín,750000000.0,65.0,4,3.0,2000.0
156,Tu Casa Ideal,2023-08-31,Calle 81 # 27 - 43,Cali,430000000.0,121.0,4,1.0,1989.0
1082,Tu Casa Ideal,2023-09-10,Calle 53 # 73 - 43,Barranquilla,580000000.0,175.0,6,4.0,1981.0
1153,Conexión Urbana,2024-04-09,Avenida 111 # 12 - 37,Barranquilla,685000000.0,140.0,5,3.0,2005.0
607,Tu Casa Ideal,2025-05-11,Calle 56 # 57 - 78,Bogotá D.C.,237000000.0,160.0,6,2.0,2002.0
1060,Propiedades del Sol,2024-06-29,Avenida 137 # 16 - 61,Cali,1615000000.0,313.0,2,2.0,2003.0
809,Tu Casa Ideal,2024-10-12,Diagonal 54 # 65 - 10,Medellín,1994000000.0,,6,4.0,1990.0
582,Inmobiliaria Andina,2024-04-20,Diagonal 64 # 24 - 54,Cali,1383000000.0,169.0,6,4.0,1988.0
847,Horizonte Propiedades,2024-06-20,Calle 17 # 3 - 15,Cali,1990000000.0,74.0,4,3.0,1992.0
476,Horizonte Propiedades,2024-05-19,Calle 123 # 56 - 79,Cali,945000000.0,205.0,2,3.0,1983.0
585,Conexión Urbana,2024-05-02,Carrera 139 # 2 - 73,Medellín,770000000.0,144.0,2,2.0,2011.0
71,Horizonte Propiedades,2025-04-01,Avenida 118 # 53 - 60,Medellín,864000000.0,215.0,3,2.0,
166,Tu Casa Ideal,2024-12-06,Transversal 128 # 12 - 70,Bogotá D.C.,660000000.0,126.0,4,1.0,1991.0
953,Propiedades del Sol,2025-06-21,Calle 142 # 57 - 99,Barranquilla,1664000000.0,182.0,5,4.0,2006.0
1486,Propiedades del Sol,2024-08-15,Transversal 26 # 41 - 34,Barranquilla,1299000000.0,171.0,2,1.0,2009.0
642,Horizonte Propiedades,2023-07-19,Transversal 145 # 11 - 26,Medellín,1560000000.0,151.0,3,3.0,1992.0
1536,Horizonte Propiedades,2025-02-06 00:00:00,Calle 150 # 89 - 73,Medellín,,290.0,4,2.0,
1139,Inmobiliaria Andina,2024-09-02,Calle 15 # 2 - 9,Barranquilla,1767000000.0,153.0,1,2.0,2010.0
1032,Conexión Urbana,2023-07-21,Diagonal 81 # 25 - 18,Cali,1863000000.0,275.0,5,2.0,1985.0
1406,Conexión Urbana,2024-09-20,Avenida 7 # 25 - 72,Cartagena,874000000.0,187.0,6,1.0,2004.0
1148,Inmobiliaria Andina,2024-12-30,Diagonal 41 # 70 - 85,Cartagena,1212000000.0,214.0,4,3.0,2023.0
617,Tu Casa Ideal,2024-02-19,Diagonal 26 # 10 - 53,Cali,571000000.0,256.0,1,1.0,2001.0
177,Propiedades del Sol,2024-12-21,Calle 124 # 9 - 99,Bogotá D.C.,203000000.0,240.0,5,2.0,1992.0
1229,Conexión Urbana,2023-12-15,Calle 141 # 99 - 42,Barranquilla,979000000.0,259.0,5,3.0,1997.0
389,Conexión Urbana,2025-03-23,Transversal 124 # 5 - 45,Medellín,1434000000.0,71.0,6,2.0,2001.0
498,Propiedades del Sol,2024-03-24,Diagonal 106 # 86 - 10,Cartagena,569000000.0,259.0,3,4.0,
463,Inmobiliaria Andina,2025-05-21,Calle 57 # 73 - 69,Medellín,1885000000.0,,5,3.0,
1390,Inmobiliaria Andina,2024-01-20,Carrera 116 # 25 - 78,Medellín,1345000000.0,213.0,5,3.0,2021.0
835,Tu Casa Ideal,2024-11-21,Diagonal 140 # 79 - 71,Cartagena,723000000.0,303.0,2,2.0,2003.0
138,Conexión Urbana,2024-05-12,Carrera 110 # 42 - 63,Barranquilla,267000000.0,137.0,1,4.0,1986.0
152,Conexión Urbana,2023-11-06,Diagonal 102 # 88 - 55,Cartagena,459000000.0,155.0,6,4.0,2016.0
1176,Conexión Urbana,2024-06-27,Carrera 33 # 49 - 72,Cartagena,270000000.0,211.0,1,3.0,2018.0
808,Horizonte Propiedades,2024-09-10,Avenida 38 # 88 - 32,Cartagena,1596000000.0,291.0,4,3.0,2021.0
1355,Tu Casa Ideal,2024-06-21,Transversal 88 # 64 - 59,Cali,700000000.0,162.0,6,4.0,2007.0
214,Propiedades del Sol,2024-03-10,Avenida 29 # 34 - 99,Cali,242000000.0,214.0,4,1.0,2016.0
1313,Inmobiliaria Andina,2023-12-16,Carrera 52 # 94 - 19,Cartagena,753000000.0,302.0,6,1.0,
1131,Conexión Urbana,2024-04-24,Diagonal 56 # 21 - 100,Medellín,1166000000.0,91.0,5,4.0,1982.0
609,Conexión Urbana,2024-07-23,Calle 137 # 79 - 37,Medellín,609000000.0,136.0,5,1.0,2010.0
1048,Propiedades del Sol,2024-07-10,Diagonal 50 # 74 - 40,Cartagena,433000000.0,,6,2.0,2013.0
1103,Tu Casa Ideal,2024-05-29,Transversal 81 # 44 - 76,Medellín,530000000.0,345.0,2,3.0,1994.0
17,Horizonte Propiedades,2025-06-02,Avenida 100 # 19 - 13,Cartagena,216000000.0,70.0,3,1.0,1987.0
144,Conexión Urbana,2024-09-12,Diagonal 22 # 88 - 2,Cartagena,1237000000.0,183.0,2,4.0,1981.0
752,Inmobiliaria Andina,2023-12-10,Diagonal 91 # 59 - 99,Bogotá D.C.,296000000.0,195.0,4,3.0,2023.0
893,Inmobiliaria Andina,2024-03-11,Avenida 71 # 5 - 86,Medellín,1807000000.0,81.0,2,1.0,2006.0
596,Tu Casa Ideal,2023-11-06,Avenida 83 # 75 - 3,Cartagena,1202000000.0,178.0,6,2.0,1987.0
1287,Inmobiliaria Andina,2025-02-10,Transversal 91 # 88 - 25,Cali,486000000.0,204.0,3,1.0,1992.0
458,Inmobiliaria Andina,2024-07-20,Transversal 96 # 13 - 77,Bogotá D.C.,1060000000.0,100.0,2,,2016.0
524,Horizonte Propiedades,2025-02-07,Avenida 116 # 84 - 37,Cartagena,823000000.0,52.0,2,1.0,1986.0
435,Propiedades del Sol,2023-07-24,Diagonal 34 # 8 - 40,Medellín,1512000000.0,265.0,1,1.0,1988.0
1036,Inmobiliaria Andina,2025-05-07,Avenida 17 # 39 - 41,Cartagena,671000000.0,304.0,6,2.0,2003.0
3,Horizonte Propiedades,2024-05-31,Avenida 72 # 66 - 57,Barranquilla,1850000000.0,338.0,2,4.0,2019.0
439,Tu Casa Ideal,2024-03-02,Calle 142 # 33 - 42,Medellín,1233000000.0,210.0,2,3.0,2002.0
98,Inmobiliaria Andina,2023-12-24,Transversal 58 # 79 - 51,Barranquilla,1054000000.0,135.0,4,1.0,1982.0
1412,Tu Casa Ideal,2024-04-25,Transversal 58 # 89 - 13,Medellín,1151000000.0,143.0,4,1.0,2009.0
